material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-Pa1_ICSD_648329,ext_bulk,bulk,8.499326e-09,5,2.058194e-10,6.998501e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-Pa1_ICSD_648329,ext_bulk,bulk,8.499326e-09,5,2.058194e-10,6.998501e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Pa1_ICSD_648329,ext_bulk,bulk,8.499326e-09,5,2.058194e-10,6.998501e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Pt5Se4_ICSD_87926,ext_bulk,bulk,0.0004614262,5,0.0002159891,2.684435e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 4.614e-04 >= threshold 0.0001,ELIGIBLE
aflow-Pt5Se4_ICSD_87926,ext_bulk,bulk,0.0004614262,5,0.0002159891,2.684435e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Pt5Se4_ICSD_87926,ext_bulk,bulk,0.0004614262,5,0.0002159891,2.684435e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1007755,dev_bulk,bulk,0.001709276,5,0.001269766,5.933671e-10,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.709e-03 >= threshold 0.0001,ELIGIBLE
mp-1007755,dev_bulk,bulk,0.001709276,5,0.001269766,5.933671e-10,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.709e-03 >= threshold 0.001,ELIGIBLE
mp-1007755,dev_bulk,bulk,0.001709276,5,0.001269766,5.933671e-10,0.01,ELIGIBLE,,ELIGIBLE
mp-1009084,dev_bulk,bulk,0.0001314017,5,4.020352e-05,1.135122e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.314e-04 >= threshold 0.0001,ELIGIBLE
mp-1009084,dev_bulk,bulk,0.0001314017,5,4.020352e-05,1.135122e-09,0.001,ELIGIBLE,,ELIGIBLE
mp-1009084,dev_bulk,bulk,0.0001314017,5,4.020352e-05,1.135122e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1025517,dev_bulk,bulk,0.0006035059,5,8.479974e-05,2.406184e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.035e-04 >= threshold 0.0001,ELIGIBLE
mp-1025517,dev_bulk,bulk,0.0006035059,5,8.479974e-05,2.406184e-09,0.001,ELIGIBLE,,ELIGIBLE
mp-1025517,dev_bulk,bulk,0.0006035059,5,8.479974e-05,2.406184e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1036731,dev_bulk,bulk,0.007029374,5,0.006541353,9.324901e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 7.029e-03 >= threshold 0.0001,ELIGIBLE
mp-1036731,dev_bulk,bulk,0.007029374,5,0.006541353,9.324901e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 7.029e-03 >= threshold 0.001,ELIGIBLE
mp-1036731,dev_bulk,bulk,0.007029374,5,0.006541353,9.324901e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1038991,dev_bulk,bulk,0.00142385,5,0.0007626444,6.385388e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.424e-03 >= threshold 0.0001,ELIGIBLE
mp-1038991,dev_bulk,bulk,0.00142385,5,0.0007626444,6.385388e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.424e-03 >= threshold 0.001,ELIGIBLE
mp-1038991,dev_bulk,bulk,0.00142385,5,0.0007626444,6.385388e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1039028,dev_bulk,bulk,0.0008710811,5,0.0003079359,0.0003089232,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 8.711e-04 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
mp-1039028,dev_bulk,bulk,0.0008710811,5,0.0003079359,0.0003089232,0.001,ELIGIBLE,,ELIGIBLE
mp-1039028,dev_bulk,bulk,0.0008710811,5,0.0003079359,0.0003089232,0.01,ELIGIBLE,,ELIGIBLE
mp-1041800,dev_bulk,bulk,0.002476749,5,0.002176815,6.372613e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.477e-03 >= threshold 0.0001,ELIGIBLE
mp-1041800,dev_bulk,bulk,0.002476749,5,0.002176815,6.372613e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.477e-03 >= threshold 0.001,ELIGIBLE
mp-1041800,dev_bulk,bulk,0.002476749,5,0.002176815,6.372613e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1044003,dev_bulk,bulk,0.0001696446,5,9.250402e-05,2.604445e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.696e-04 >= threshold 0.0001,ELIGIBLE
mp-1044003,dev_bulk,bulk,0.0001696446,5,9.250402e-05,2.604445e-09,0.001,ELIGIBLE,,ELIGIBLE
mp-1044003,dev_bulk,bulk,0.0001696446,5,9.250402e-05,2.604445e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1044463,dev_bulk,bulk,0.001503009,5,0.001154678,1.436243e-05,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.503e-03 >= threshold 0.0001,ELIGIBLE
mp-1044463,dev_bulk,bulk,0.001503009,5,0.001154678,1.436243e-05,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.503e-03 >= threshold 0.001,ELIGIBLE
mp-1044463,dev_bulk,bulk,0.001503009,5,0.001154678,1.436243e-05,0.01,ELIGIBLE,,ELIGIBLE
mp-1046632,dev_bulk,bulk,0.000256135,5,8.35824e-05,6.515264e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.561e-04 >= threshold 0.0001,ELIGIBLE
mp-1046632,dev_bulk,bulk,0.000256135,5,8.35824e-05,6.515264e-09,0.001,ELIGIBLE,,ELIGIBLE
mp-1046632,dev_bulk,bulk,0.000256135,5,8.35824e-05,6.515264e-09,0.01,ELIGIBLE,,ELIGIBLE
mp-1065204,dev_bulk,bulk,2.705611e-05,5,1.53737e-05,1.576456e-09,0.0001,ELIGIBLE,,ELIGIBLE
mp-1065204,dev_bulk,bulk,2.705611e-05,5,1.53737e-05,1.576456e-09,0.001,ELIGIBLE,,ELIGIBLE
