caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,realized_linf_a,realized_linf_b,rmse_a,rmse_b,resolved_bader_error_a,resolved_bader_error_b,compression_ratio_a,compression_ratio_b,distance,d_log10_linf,d_log10_rmse,error_ratio_a_over_b,compression_ratio_a_over_b,linf_ratio_a_over_b,rmse_ratio_a_over_b,jointly_eligible_tau_0.01,certification_difference_pp_a_minus_b
0.05,SZ3,SPERR,mp-1178447,dev_bulk,0,0.003,0.003,18.31613199116964,18.31659925587903,5.642212573357139,5.939453141520654,0.0435951713816429,0.0226739071637087,303.7511587187146,20.317833587477725,0.44594037451769997,1.1079189455864835e-05,0.022297015973309686,1.9227022086171484,14.949977683935865,0.9999744895489134,0.9499548929705988,True,0.0
0.05,SZ3,SPERR,mp-1178447,dev_bulk,1,0.01,0.01,61.04925939602636,61.05534650851715,17.239281577037556,18.18148694339434,0.1739416242839597,0.1025781834041428,637.096565132858,29.59676178369518,0.46220551444723984,4.330056754353606e-05,0.02311023515727273,1.6956980374535933,21.525887520702813,0.9999003017288594,0.9481777607469501,True,0.0
0.05,SZ3,SPERR,mp-1184653,dev_bulk,0,0.001,0.001,0.582010582630339,0.581922475730849,0.2118735689693614,0.1901316742912866,0.0437646383328687,0.0467502980906751,141.15430833883235,14.481582041688936,0.9404471126246161,6.575007052911364e-05,0.04702230966294796,0.9361360273678784,9.747160768242281,1.000151406593085,1.1143517762577826,True,0.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,0,0.001,0.001,1.9184811053701765,1.9185365035910424,0.5975766286953726,0.6027959502560964,0.0140190914304998,0.0086280376610137,293.6208278703877,16.141118810555906,0.07553485888691773,1.2540542725092418e-05,0.0037767221240719573,1.624829652036163,18.19085971155647,0.9999711247501613,0.991341478723428,True,-100.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,1,0.0001,0.0001,0.1918615779859465,0.1918605022110426,0.0758790827461187,0.0722274464056679,0.0049703502063156,0.0072006946212779,76.34295955040858,10.098870445933567,0.4283962356981018,2.4351119137788757e-06,0.021419811646487208,0.690259824604743,7.559554304526107,1.000005607068112,1.0505574614938102,True,0.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,2,0.003,0.003,5.755502609066248,5.755680792558284,1.6518904798246572,1.750888527777603,0.0522463610707895,0.0337588816960829,556.3747870528109,20.4833182199481,0.50554500902241,1.3445030743408637e-05,0.025277246875398035,1.547633050796577,27.16233674048836,0.9999690421518396,0.9434583947622276,True,0.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,3,0.0003,0.0003,0.5755774893314509,0.5755500513315219,0.2064734766822345,0.1934840853656878,0.0071175032628012,0.0076306402295784,138.56747869745075,12.798119030124909,0.5643805886255752,2.0703478189804114e-05,0.02821902183650893,0.9327530913083618,10.827175335006894,1.000047672656558,1.067134158822399,True,0.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,4,3e-05,3e-05,0.0575586312752136,0.0575587401746808,0.0252263440078302,0.0230095273631322,0.0030859094488047,0.0043173466269035,41.89762668377165,7.961216760161252,0.7989323180092232,8.216733424770695e-07,0.03994661589201054,0.7147699074183406,5.2627164849262345,0.9999981080290001,1.0963434237354206,True,0.0
0.05,SZ3,SPERR,mp-1193567,dev_bulk,0,0.0003,0.0003,1.358026973034839,1.3580275376591429,0.5082067403845579,0.4923982633449748,0.0086593560205887,0.0093167777773537,95.98177888530373,12.30360433612844,0.2744781659876288,1.805657570685959e-07,0.013723908298193588,0.9294367889332944,7.801110655311124,0.9999995842320659,1.03210506254062,True,0.0
0.05,SZ3,SPERR,mp-1193567,dev_bulk,1,0.003,0.003,13.580250668501776,13.579933613286858,4.027807630089574,4.195847672240659,0.0433538378159665,0.0469936811862989,422.3627546071775,22.19968137306965,0.355019912475792,1.0139498972216998e-05,0.017750992727911252,0.9225461109142987,19.02562237310055,1.0000233473317284,0.9599508716050819,True,0.0
0.05,SZ3,SPERR,mp-1193567,dev_bulk,2,0.01,0.01,45.26385304158377,45.264328522328775,11.978538710842932,12.984140975823816,0.1058972053221252,0.1310351309741717,1015.5092310682128,32.02320579000803,0.7001876359321457,4.562085755832612e-06,0.03500938149936372,0.808158884833706,31.711666774632377,0.9999894954645187,0.9225514982582756,True,0.0
0.05,SZ3,SPERR,mp-1197354,dev_bulk,0,0.003,0.003,12.863077848750097,12.862962255030368,3.899688581025715,3.867950535550613,0.0357921915538801,0.0246067526823594,447.5610341023551,25.66107264889689,0.07098034730922921,3.9027937777103006e-06,0.0035490152195429836,1.4545678585024977,17.441244184373357,1.0000089865551525,1.0082053907317055,True,0.0
0.05,SZ3,SPERR,mp-1197354,dev_bulk,1,0.01,0.01,42.877059277187584,42.87384600673733,11.767377639619124,11.963377753622693,0.1197079214070395,0.053554587199958,1024.0,37.68194951752712,0.14348397806529964,3.254789256024182e-05,0.007174125071275128,2.2352505670538223,27.174814814814813,1.0000749471006112,0.9836166575995465,True,0.0
0.05,SZ3,SPERR,mp-1197354,dev_bulk,2,0.001,0.001,4.287707901954718,4.287670134988275,1.4446201357865334,1.3722063032391807,0.0122694190772163,0.0126201404232357,210.28056338028168,19.021681520560342,0.4466850872520939,3.825367244192357e-06,0.022334254035003998,0.9722093943286347,11.05478309859155,1.0000088082723844,1.0527718262016543,True,0.0
0.05,SZ3,SPERR,mp-1199510,dev_bulk,0,0.0003,0.0003,6.584796084827758,6.584759550238232,2.421059443179882,2.5364620822139927,0.0409175362272158,0.0755370536062649,95.29836578193054,11.875167864311363,0.4044584386308376,2.409613667930799e-06,0.020222921787986015,0.5416882744791381,8.025012098425345,1.0000055483559038,0.9545025175643945,True,0.0
0.05,SZ3,SPERR,mp-1200041,dev_bulk,0,0.003,0.003,14.5637520934876,14.563628732522254,4.598763336990538,4.563816999169781,0.0459044728790152,0.0439786188390822,282.8310727496917,26.072085432983496,0.0662568144407444,3.6786683192957526e-06,0.00331283867958998,1.0437906894479727,10.848041806118255,1.0000084704827081,1.0076572609784997,True,0.0
0.05,SZ3,SPERR,mp-1200041,dev_bulk,1,0.01,0.01,48.54436829389989,48.54013735637347,13.735433467869475,13.90373735850288,0.1616317950425365,0.0524815975528909,621.8024096385542,41.72869266909423,0.10578642427897773,3.78530602769267e-05,0.0052891857643835305,3.079780391205587,14.901075731497418,1.0000871636908515,0.9878950611412062,True,0.0
