material_id,domain,case_role,stability_floor_A_archived_e,codec,relative_tolerance,compression_ratio,linf,atom_index,element,q_original_e,q_recon_old_basins_e,q_recon_new_basins_e,dq_integrand_e,dq_domain_e,dq_total_e,basin_voxels_original,basin_voxels_recon,frac_voxels_reassigned_material
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,6,Pd,9.986513667364092,9.986517755126954,9.970752211271014,4.087762862425848e-06,-0.015765543855939868,-0.01576145609307744,105828,105278,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,7,Pd,9.97400536702786,9.974009598050799,9.97196257471357,4.2310229382280795e-06,-0.002047023337228282,-0.002042792314290054,105376,105331,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,8,Pd,9.989322187994311,9.989326238577707,9.987097723388672,4.050583395809326e-06,-0.0022285151890351074,-0.002224464605639298,105281,105274,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,9,Pd,9.970050255529241,9.970054080908639,9.990229160526821,3.8253793981368744e-06,0.020175079618182323,0.02017890499758046,104652,105361,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,10,Pd,10.005597876012663,10.00560135672433,9.987878630447387,3.4807116673363225e-06,-0.01772272627694349,-0.017719245565276154,105909,105283,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,11,Pd,9.991943686021433,9.991948045512608,9.991295306668963,4.359491175165431e-06,-0.0006527388436445847,-0.0006483793524694192,105510,105421,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,12,Pd,9.972860593674449,9.972864880861556,9.969486046545846,4.28718710665521e-06,-0.0033788343157095113,-0.003374547128602856,105208,105090,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,13,Pd,9.969906389807408,9.96990988104684,9.973384047862462,3.4912394326624963e-06,0.0034741668156215155,0.003477658055054178,105088,105215,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,14,Pd,9.967572446425777,9.967575449534825,9.969379527555192,3.0031090485493905e-06,0.0018040780203669726,0.001807081129415522,104989,105083,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,15,Pd,9.973688552161528,9.973692523084368,9.971896446228028,3.970922840323965e-06,-0.0017960768563405338,-0.0017921059335002099,105260,105159,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,16,Pd,10.03552037791527,10.035523922566005,10.031402158028738,3.5446507347103307e-06,-0.00412176453726687,-0.0041182198865321595,185738,184654,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,17,Pd,10.026874043861689,10.026875878470285,10.032906999969482,1.8346085965958991e-06,0.006031121499196601,0.006032956107793197,182957,184534,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,18,Pd,10.029636605432962,10.029639651107788,10.032134296689716,3.0456748252305488e-06,0.0024946455819279123,0.002497691256753143,184116,184321,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.0001,23.504351977670865,0.06210057593750662,19,Pd,10.035088967705683,10.035091679327829,10.030617356818063,2.711622146378545e-06,-0.004474322509766537,-0.004471610887620159,184662,184217,0.0036785714285714286
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,0,Pd,10.035991287086055,10.036003599330357,10.02532213483538,1.2312244301426745e-05,-0.010681464494977533,-0.010669152250676106,184814,184104,0.005577678571428571
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,1,Pd,10.028472549113953,10.028478269740514,10.03006418108259,5.72062656090111e-06,0.001585911342075974,0.0015916319686368752,184068,184636,0.005577678571428571
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,2,Pd,10.033492175317944,10.033521958705357,10.029322607421875,2.9783387413218065e-05,-0.0041993512834821445,-0.004169567896068926,184476,184453,0.005577678571428571
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,3,Pd,10.025974036358123,10.026014711216519,10.033807744489398,4.067485839520657e-05,0.0077930332728790574,0.007833708131274264,183729,184918,0.005577678571428571
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,4,Pd,9.969802662196107,9.969862123325893,9.973916833496094,5.946112978527651e-05,0.0040547101702017585,0.004114171299987035,105276,105386,0.005577678571428571
nomad-4CA6DwNaypkT,slab,least_stable,1.027e-02,ZFP,0.001,45.51642858594274,0.7895518999998785,5,Pd,9.957295040967209,9.957350674874442,9.975443116978237,5.5633907233954005e-05,0.01809244210379468,0.018148076011028635,104824,105449,0.005577678571428571
