material_id,system_type,corpus,stability_floor_A1_e,codec,base,tight,tight_access
mp-26341,bulk,dev_bulk,2.642669002028697e-05,SPERR,7,4,True
mp-2647013,bulk,dev_bulk,0.0030025199409777,ZFP,9,0,False
mp-2647013,bulk,dev_bulk,0.0030025199409777,SZ3,7,0,False
mp-2647013,bulk,dev_bulk,0.0030025199409777,SPERR,8,0,False
mp-26619,bulk,dev_bulk,0.000222069506516,ZFP,8,4,True
mp-26619,bulk,dev_bulk,0.000222069506516,SZ3,6,4,True
mp-26619,bulk,dev_bulk,0.000222069506516,SPERR,7,4,True
mp-27239,bulk,dev_bulk,0.0020247529236456,ZFP,8,0,False
mp-27239,bulk,dev_bulk,0.0020247529236456,SZ3,6,0,False
mp-27239,bulk,dev_bulk,0.0020247529236456,SPERR,6,0,False
mp-28105,bulk,dev_bulk,0.0016712797202904,ZFP,8,0,False
mp-28105,bulk,dev_bulk,0.0016712797202904,SZ3,5,0,False
mp-28105,bulk,dev_bulk,0.0016712797202904,SPERR,6,0,False
mp-30772,bulk,dev_bulk,0.204199454621607,ZFP,3,0,False
mp-30772,bulk,dev_bulk,0.204199454621607,SZ3,1,0,False
mp-30772,bulk,dev_bulk,0.204199454621607,SPERR,1,0,False
mp-32108,bulk,dev_bulk,0.0016238896531728,ZFP,7,0,False
mp-32108,bulk,dev_bulk,0.0016238896531728,SZ3,7,0,False
mp-32108,bulk,dev_bulk,0.0016238896531728,SPERR,7,0,False
mp-3612,bulk,dev_bulk,0.001292881336945,ZFP,9,0,False
mp-3612,bulk,dev_bulk,0.001292881336945,SZ3,6,0,False
mp-3612,bulk,dev_bulk,0.001292881336945,SPERR,6,0,False
mp-37207,bulk,dev_bulk,0.0002261750259924,ZFP,9,4,True
mp-37207,bulk,dev_bulk,0.0002261750259924,SZ3,6,4,True
mp-37207,bulk,dev_bulk,0.0002261750259924,SPERR,6,4,True
mp-37888,bulk,dev_bulk,0.0002769396362154,ZFP,8,4,True
mp-37888,bulk,dev_bulk,0.0002769396362154,SZ3,5,4,True
mp-37888,bulk,dev_bulk,0.0002769396362154,SPERR,6,4,True
mp-435,bulk,dev_bulk,0.0086905517302469,ZFP,9,0,False
mp-435,bulk,dev_bulk,0.0086905517302469,SZ3,5,0,False
mp-435,bulk,dev_bulk,0.0086905517302469,SPERR,4,0,False
mp-505574,bulk,dev_bulk,0.0021554526963312,ZFP,7,0,False
mp-505574,bulk,dev_bulk,0.0021554526963312,SZ3,6,0,False
mp-505574,bulk,dev_bulk,0.0021554526963312,SPERR,8,0,False
mp-540547,bulk,dev_bulk,0.0149312323422385,ZFP,8,0,False
mp-540547,bulk,dev_bulk,0.0149312323422385,SZ3,6,0,False
mp-540547,bulk,dev_bulk,0.0149312323422385,SPERR,5,0,False
mp-555976,bulk,dev_bulk,0.0064129880899956,ZFP,8,0,False
mp-555976,bulk,dev_bulk,0.0064129880899956,SZ3,6,0,False
mp-555976,bulk,dev_bulk,0.0064129880899956,SPERR,6,0,False
mp-557569,bulk,dev_bulk,0.0002619048210483,ZFP,9,4,True
mp-557569,bulk,dev_bulk,0.0002619048210483,SZ3,8,4,True
mp-557569,bulk,dev_bulk,0.0002619048210483,SPERR,8,4,True
mp-560030,bulk,dev_bulk,9.210060489373006e-06,ZFP,8,4,True
mp-560030,bulk,dev_bulk,9.210060489373006e-06,SZ3,7,4,True
mp-560030,bulk,dev_bulk,9.210060489373006e-06,SPERR,7,4,True
mp-560341,bulk,dev_bulk,0.0001107591750502,ZFP,9,4,True
