material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,zfp,stratified,0.0011350343999998458,0.0017363263999996548,0.000601291999999809,1.5297566311645627,0.0,0.11983687789351852
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sz3,global,0.004983575499999837,0.007203002899999866,0.002219427400000029,1.4453484049755245,0.0,-0.03379190434854498
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sz3,shift,0.004983575499999837,0.00647908599999969,0.0014955104999998525,1.3000878586067175,0.0,-0.006464688740079383
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sz3,stratified,0.004983575499999837,0.009005246900000152,0.004021671400000315,1.8069851455045571,0.0,-9.843129960318553e-05
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sperr,global,0.006966924199999447,0.00690203250000021,-6.489169999923661e-05,0.9906857462294133,0.0,0.00016870246362435393
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sperr,shift,0.006966924199999447,0.006388722599999674,-0.0005782015999997725,0.9170076229622509,0.0,4.030257936507575e-05
nomad-ZvTQv6REajO4,slab,False,baderkit_ongrid,sperr,stratified,0.006966924199999447,0.00772775300000017,0.0007608288000007235,1.1092058386397807,0.0,-1.2400793650779729e-05
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,zfp,global,0.0011350000000005522,0.0009079999999999089,-0.00022700000000064335,0.7999999999995305,0.0,0.13021995907738096
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,zfp,shift,0.0011350000000005522,0.002491000000000021,0.0013559999999994687,2.194713656386616,0.0,0.13082527281746031
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,zfp,stratified,0.0011350000000005522,0.0017360000000001818,0.0006009999999996296,1.5295154185016187,0.0,0.11983687789351852
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sz3,global,0.00477399999999939,0.007551999999999559,0.0027780000000001692,1.581901968998853,0.0,-0.03379190434854498
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sz3,shift,0.00477399999999939,0.006589999999999208,0.0018159999999998178,1.3803937997486488,0.0,-0.006464688740079383
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sz3,stratified,0.00477399999999939,0.008580000000000254,0.0038060000000008642,1.7972350230417575,0.0,-9.843129960318553e-05
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sperr,global,0.006403000000000603,0.007028999999999286,0.0006259999999986832,1.097766671872345,0.0,0.00016870246362435393
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sperr,shift,0.006403000000000603,0.006388999999999534,-1.4000000001068713e-05,0.9978135249100316,0.0,4.030257936507575e-05
nomad-ZvTQv6REajO4,slab,False,henkelman_ongrid,sperr,stratified,0.006403000000000603,0.007727000000000039,0.0013239999999994367,1.2067780727782778,0.0,-1.2400793650779729e-05
